benchmark;gc;stw_overhead_java21_percent;stw_overhead_java25_percent;stw_pause_count_java21;stw_pause_count_java25;stw_pause_count_diff;stw_overhead_diff_percentage_points
akka-uct;G1GC;1.668715;1.68835;41;40;-1;0.01963500000000007
akka-uct;ZGC;0.000247;0.000319;27;32;5;7.200000000000002e-05
als;G1GC;0.73593;0.740026;41;26;-15;0.0040959999999999885
als;ZGC;0.000107;0.000171;14;20;6;6.400000000000001e-05
chi-square;G1GC;0.617298;0.582801;39;34;-5;-0.034497
chi-square;ZGC;5.7e-05;7e-05;9;9;0;1.299999999999999e-05
db-shootout;G1GC;0.609648;0.591274;39;37;-2;-0.018374
db-shootout;ZGC;0.000202;0.000196;24;17;-7;-6.00000000000001e-06
dec-tree;G1GC;0.649964;0.669298;32;32;0;0.019333999999999962
dec-tree;ZGC;7.5e-05;5.4e-05;11;8;-3;-2.0999999999999995e-05
dotty;G1GC;0.602012;1.889113;4;4;0;1.287101
dotty;ZGC;0.000274;0.000254;19;15;-4;-1.9999999999999998e-05
finagle-chirper;G1GC;0.386183;0.334031;21;18;-3;-0.052151999999999976
finagle-chirper;ZGC;0.000104;0.000113;11;11;0;9.000000000000002e-06
finagle-http;G1GC;0.478671;0.4281;29;26;-3;-0.05057100000000003
finagle-http;ZGC;0.000161;0.000131;17;11;-6;-2.9999999999999997e-05
fj-kmeans;G1GC;0.673089;0.626709;41;38;-3;-0.04638000000000009
fj-kmeans;ZGC;0.000136;0.00018;15;18;3;4.400000000000001e-05
future-genetic;G1GC;0.267076;0.308005;22;23;1;0.04092899999999999
future-genetic;ZGC;0.000282;0.000273;30;30;0;-9.000000000000002e-06
gauss-mix;G1GC;0.566901;0.486548;26;23;-3;-0.08035300000000001
gauss-mix;ZGC;4.3e-05;5.5e-05;8;8;0;1.2e-05
log-regression;G1GC;0.688038;0.519949;28;20;-8;-0.16808900000000004
log-regression;ZGC;0.00011;0.0;15;0;-15;-0.00011
mnemonics;G1GC;0.630523;0.630585;44;44;0;6.20000000000065e-05
mnemonics;ZGC;0.000171;0.0002;19;24;5;2.9e-05
movie-lens;G1GC;0.592903;0.504502;34;32;-2;-0.08840099999999995
movie-lens;ZGC;0.000131;0.000147;20;17;-3;1.5999999999999982e-05
naive-bayes;G1GC;0.796207;0.813233;37;37;0;0.017025999999999986
naive-bayes;ZGC;0.000184;0.000169;20;14;-6;-1.5000000000000012e-05
neo4j-analytics;G1GC;0.578765;0.551399;41;39;-2;-0.027366
neo4j-analytics;ZGC;0.000107;0.000109;14;15;1;2.000000000000008e-06
page-rank;G1GC;6.005925;6.335375;68;68;0;0.3294499999999996
page-rank;ZGC;0.000219;0.000199;17;13;-4;-1.9999999999999998e-05
par-mnemonics;G1GC;0.728324;0.61627;49;41;-8;-0.11205399999999999
par-mnemonics;ZGC;0.000108;0.000131;14;14;0;2.3000000000000017e-05
philosophers;G1GC;0.569987;0.634408;40;43;3;0.06442099999999995
philosophers;ZGC;0.00014;0.000124;14;12;-2;-1.5999999999999982e-05
reactors;G1GC;0.445583;0.438452;19;16;-3;-0.0071309999999999985
reactors;ZGC;0.00019;0.000209;23;23;0;1.9e-05
rx-scrabble;G1GC;0.4747;0.517251;39;41;2;0.042551000000000005
rx-scrabble;ZGC;0.000118;0.000136;17;17;0;1.8000000000000004e-05
scala-doku;G1GC;0.063408;0.094879;2;3;1;0.031471
scala-doku;ZGC;0.000633;0.000923;60;80;20;0.00029
scala-kmeans;G1GC;0.110722;0.085628;5;4;-1;-0.025094000000000005
scala-kmeans;ZGC;0.000292;0.001086;30;115;85;0.000794
scala-stm-bench7;G1GC;5.908878;5.149553;94;87;-7;-0.7593249999999996
scala-stm-bench7;ZGC;0.000361;0.000468;39;44;5;0.000107
scrabble;G1GC;0.774136;0.836531;46;45;-1;0.06239499999999998
scrabble;ZGC;0.000169;0.000268;18;24;6;9.900000000000002e-05
