benchmark;G1GC Java 21;G1GC Java 25;ZGC Java 21;ZGC Java 25
scala-stm-bench7;94;87;39;44
page-rank;68;68;17;13
scala-kmeans;5;4;30;115
scala-doku;2;3;60;80
akka-uct;41;40;27;32
scrabble;46;45;18;24
mnemonics;44;44;19;24
par-mnemonics;49;41;14;14
db-shootout;39;37;24;17
rx-scrabble;39;41;17;17
fj-kmeans;41;38;15;18
philosophers;40;43;14;12
neo4j-analytics;41;39;14;15
naive-bayes;37;37;20;14
future-genetic;22;23;30;30
movie-lens;34;32;20;17
als;41;26;14;20
chi-square;39;34;9;9
dec-tree;32;32;11;8
finagle-http;29;26;17;11
reactors;19;16;23;23
gauss-mix;26;23;8;8
log-regression;28;20;15;0
finagle-chirper;21;18;11;11
dotty;4;4;19;15
